mon1,mon2,polym,polymer_class,chi_mean,chi_std,Tg_mean,Tg_std,LogP,SA_Score
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Cc1c(N=C=O)cccc1N=C=O,*c1cccc(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)c1C,polyoxazolidone,0.114,0.163,179.861,15.399,4.564,4.175323510961719
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Cc1cc(-c2ccc(N=C=O)c(C)c2)ccc1N=C=O,*c1ccc(-c2ccc(N3CC(COc4ccc(C(C)(C)c5ccc(OCC6CN(*)C(=O)O6)cc5)cc4)OC3=O)c(C)c2)cc1C,polyoxazolidone,0.001,0.158,212.064,16.877,6.539,4.2418520129075485
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,*c1ccc(Cc2ccc(N3CC(COc4ccc(C(C)(C)c5ccc(OCC6CN(*)C(=O)O6)cc5)cc4)OC3=O)cc2)cc1,polyoxazolidone,0.44,0.154,130.337,10.529,5.846,4.14873606722241
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Cc1ccc(N=C=O)cc1N=C=O,*c1cc(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)ccc1C,polyoxazolidone,0.514,0.098,147.592,9.343,4.564,4.141510713140072
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Cc1ccc(N=C=O)cc1N=C=O,*c1ccc(C)c(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)c1,polyoxazolidone,-0.142,0.138,151.309,11.688,4.564,4.190023715182278
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCCCCCCN=C=O,*CCCCCCN1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(*)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.566,0.253,72.044,12.058,5.404,4.176033933267931
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,*N1CC(COc2ccc(C(C)(C)c3ccc(OCC4CN(C(C)(C)c5cccc(C(*)(C)C)c5)C(=O)O4)cc3)cc2)OC1=O,polyoxazolidone,0.972,0.156,81.341,11.799,6.596,4.384716545131835
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=Nc1cccc2c(N=C=O)cccc12,*c1cccc2c(N3CC(COc4ccc(C(C)(C)c5ccc(OCC6CN(*)C(=O)O6)cc5)cc4)OC3=O)cccc12,polyoxazolidone,0.011,0.161,159.952,12.785,5.408,4.17126841402338
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,O=C=NCc1cccc(CN=C=O)c1,*Cc1cccc(CN2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=O)O5)cc4)cc3)OC2=O)c1,polyoxazolidone,1.043,0.264,88.698,12.131,5.126,4.123940527980096
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,S=C=Nc1ccc(N=C=S)cc1,*c1ccc(N2CC(COc3ccc(C(C)(C)c4ccc(OCC5CN(*)C(=S)O5)cc4)cc3)OC2=S)cc1,polyoxazolidone,0.907,0.372,119.035,10.106,4.585,4.3887358043698015
